PROLIFIC_PID,id,PID,date,timer_total,age,gender,gender_open,rururb01,rururb02,rururb02_open,rururb03,education,party,party_open,party_closer,party_preference,party_strength,party_importance,party_importance_raw,affpol_raw,affpol_weighted,valence_democrats,valence_republicans,arousal_democrats,arousal_republicans,condition,outparty_estimate,deviation,control_est_dem,control_est_rep,treat_est_dem_01,treat_est_dem_02,treat_est_dem_03,treat_est_rep_01,treat_est_rep_02,treat_est_rep_03,manip_check_01,democratic_support,freefair,freefair_raw,ethnicity01,ethnicity02,ethnicity_open,income,treat_dem_surprise,treat_rep_surprise,treat_dem_credible,treat_rep_credible,purpose,feedback,pre_commitment,pre_attention,post_attention,max_boxes,easy65,hard80,hard95,work_total,work_voteurban,work_voterural,work_ingroup,work_outgroup,work_difference,democratic_support_raw,antidemocratic_01,antidemocratic_02,antidemocratic_03,antidemocratic_04,democratic_01,democratic_02,democratic_03,democratic_04,freefair_01,freefair_02,freefair_02_r,inparty,outparty
115,R_7aXIogFw2uDQcMC,P605,24/02/2026 17:40,596,27,Man,,Suburb,City,,4,4-year college degree,Democrat,,NA,Democrat,Strong,-1.37082601488858,40,0.507117352990334,0.201175972852226,80,15,30,70,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,Republican,0.326636427625713,-0.998834983022615,7,White,NA,,"$40,000 to $49,999",NA,NA,NA,NA,I hoped to make a bit of a difference,,"Yes, I will",passed,passed,26,17,21,25,9,7,2,7,2,5,350,10,10,5,25,90,90,95,75,4,3,3,Democrat,Republican
116,R_37vtAoSSdNKDjwt,P157,24/02/2026 17:43,2586,37,Woman,,Rural area,Small-town,,3,"College, but not degree",Republican,,NA,Republican,Strong,0.394067591485273,82,-0.492288755913592,-0.368636170263232,51,87,54,69,Treatment,4,0,NA,NA,NA,NA,NA,Often,NA,NA,Republican,-2.55708756467078,-1.64484765860938,6,White,NA,,"$60,000 to $69,999",NA,54,NA,83,easy,,"Yes, I will",passed,passed,24,16,19,23,8,4,4,4,4,0,98,86,72,73,71,14,28,27,29,4,4,2,Republican,Democrat
117,R_7Bd7d299sfY6iJP,P567,24/02/2026 17:43,1048,45,Man,,City,City,,3,Postgraduate degree,Republican,,NA,Republican,Not very strong,-0.950613251466235,50,-1.35384574634801,-1.17326052173432,50,61,50,50,Treatment,3,-1,NA,NA,NA,NA,NA,Sometimes,Often,NA,Republican,-1.25254575863189,-0.352822307435849,8,White,NA,,"$40,000 to $49,999",NA,42,NA,50,Slightly challenging,,"Yes, I will",passed,passed,12,8,10,11,17,8,9,9,8,1,212,50,50,50,38,50,50,50,62,4,2,4,Republican,Democrat
118,R_7qvJeywSTStYKYJ,P647,24/02/2026 17:43,1275,55,Woman,,City,City,,4,Postgraduate degree,Republican,,NA,Republican,Strong,0.73023780222315,90,-0.00981684127031756,0.11138843881953,50,100,50,90,Control,3,-1,NA,Sometimes,NA,NA,NA,NA,NA,NA,Republican,0.86447383888736,0.293190368150917,9,White,NA,,"$150,000 or more",NA,NA,NA,NA,Fun,No comment.,"Yes, I will",passed,passed,25,16,20,24,9,5,4,4,5,-1,397,1,1,1,0,99,99,99,100,4,1,5,Republican,Democrat
119,R_1Kwn6DNqTcIQ1rJ,P50,24/02/2026 17:43,752,33,Woman,,Suburb,City,,3,Postgraduate degree,Democrat,,NA,Democrat,Strong,0.520131420511977,85,0.989589267633609,0.927555870648885,86,7,56,62,Treatment,2,-2,NA,NA,Rarely,Often,NA,NA,NA,NA,Republican,0.0405526982312199,-0.352822307435849,8,White,NA,,"$150,000 or more",90,NA,57,NA,I found it interesting and enjoyed the game of increasing democratic participation across party lines. ,"I missed selecting an option in one trial - my finger slipped when trying to select ""rest"" and the question timed out. I apologize for this - I was paying attention and it was user error. ","Yes, I will",passed,passed,24,16,19,23,12,6,6,6,6,0,325,7,39,21,8,93,61,79,92,4,2,4,Democrat,Republican
12,R_762JEMJpuchBG25,P556,24/02/2026 16:37,812,35,Woman,,City,City,,4,"College, but not degree",Democrat,,NA,Democrat,Strong,0.73023780222315,90,-1.04368522979162,-0.919744060406667,60,40,50,50,Treatment,4,0,NA,NA,Often,NA,NA,NA,NA,NA,Republican,0.898803886414699,0.939203043737683,10,White,NA,,"$60,000 to $69,999",50,NA,50,NA,stressful,no,"Yes, I will",passed,passed,14,9,11,13,7,7,0,7,0,7,400,0,0,0,0,100,100,100,100,5,1,5,Democrat,Republican
120,R_7mgvYyXEzq0sn6T,P635,24/02/2026 17:43,1311,45,Man,,Suburb,Suburb,,1,Postgraduate degree,Republican,,NA,Republican,Strong,-0.950613251466235,50,0.679428751077218,0.63799479542459,19,89,71,49,Control,1,-3,NA,Almost never,NA,NA,NA,NA,NA,NA,Republican,0.898803886414699,-0.352822307435849,8,White,NA,,"$100,000 to $149,999",NA,NA,NA,NA,boring,,"Yes, I will",passed,passed,19,12,15,18,0,0,0,0,0,0,400,0,0,0,0,100,100,100,100,4,2,4,Republican,Democrat
121,R_6qTI31Yp7bHxHh2,P531,24/02/2026 17:43,1521,56,Woman,,City,Suburb,,3,4-year college degree,Republican,,NA,Republican,Not very strong,-0.320294106332716,65,-0.319977357826708,-0.164701299384974,34,75,60,72,Treatment,3,-1,NA,NA,NA,NA,NA,Sometimes,Often,NA,Republican,0.681380252074884,0.939203043737683,10,White,NA,,"$70,000 to $79,999",NA,41,NA,70,It was interesting and kinda thought-provoking.,"It was clear and easy to follow, maybe just a little fast with the time limits but overall pretty straightforward.","Yes, I will",passed,passed,18,12,14,17,9,2,7,7,2,5,381,5,4,10,0,95,96,90,100,5,1,5,Republican,Democrat
122,R_15V5z1cwCjCXYkx,P19,24/02/2026 17:44,829,25,Man,,Rural area,Rural,,2,High school,Democrat,,NA,Democrat,Strong,0.225982486116334,78,0.265881395668697,0.00383947841941679,86,28,85,27,Control,4,0,Often,NA,NA,NA,NA,NA,NA,NA,Democrat,-0.943575330885836,-1.64484765860938,6,Black or African-American,NA,,"Less than $10,000",NA,NA,NA,NA,I loved the study. It is always great to give back.,loved the study,"Yes, I will",passed,passed,14,9,11,13,13,6,7,6,7,-1,239,56,48,8,49,44,52,92,51,5,5,1,Democrat,Republican
123,R_1hYmdyjrww122t3,P88,24/02/2026 17:45,739,35,Woman,,City,City,,2,High school,Democrat,,NA,Democrat,Strong,-0.950613251466235,50,-0.00981684127031756,-1.28589505681791,100,50,0,0,Treatment,2,-2,NA,NA,Rarely,Often,NA,NA,NA,NA,Republican,0.898803886414699,0.939203043737683,10,White,NA,,"Less than $10,000",0,NA,0,NA,It was pretty easy.,None,"Yes, I will",passed,passed,20,13,16,19,8,4,4,4,4,0,400,0,0,0,0,100,100,100,100,5,1,5,Democrat,Republican
124,R_13cIYqGbZjmKxEd,P15,24/02/2026 17:45,1603,52,Woman,,Suburb,Suburb,,4,Postgraduate degree,Republican,,NA,Republican,Strong,0.310025038800804,80,0.0246454383470592,0.0419331421722949,40,91,41,90,Control,2,-2,NA,Rarely,NA,NA,NA,NA,NA,NA,Independent,0.44106991938351,0.293190368150917,9,White,NA,,"$90,000 to $99,999",NA,NA,NA,NA,very great,no,"Yes, I will",passed,passed,17,11,14,16,15,8,7,7,8,-1,360,10,10,10,10,90,90,90,90,4,1,5,Republican,Democrat
125,R_7smN84arl1qAhLj,P654,24/02/2026 17:47,1428,60,Woman,,Suburb,Rural,,1,"College, but not degree",Democrat,,NA,Democrat,Not very strong,-3.00965579223573,1,-1.73293082213916,-1.48311397446812,60,60,50,50,Treatment,1,-3,NA,NA,Almost never,Often,NA,NA,NA,NA,Republican,0.898803886414699,0.939203043737683,10,Black or African-American,NA,,"$100,000 to $149,999",50,NA,50,NA,It was time consuming.,None,"Yes, I will",passed,passed,12,8,10,11,4,2,2,2,2,0,400,0,0,0,0,100,100,100,100,5,1,5,Democrat,Republican
126,R_3s6SGxxugl0U3ga,P271,24/02/2026 17:47,1375,30,Man,,City,Rural,,3,4-year college degree,Democrat,,NA,Democrat,Strong,-0.530400488043889,60,-0.354439637444085,-0.199445857760767,60,20,61,70,Treatment,3,-1,NA,NA,Sometimes,Often,NA,NA,NA,NA,Republican,0.898803886414699,0.293190368150917,9,White,NA,,"$150,000 or more",40,NA,71,NA,repetitive,NA,"Yes, I will",passed,passed,23,15,18,22,14,6,8,6,8,-2,400,0,0,0,0,100,100,100,100,5,2,4,Democrat,Republican
127,R_71B2uidUsTHpP38,P548,24/02/2026 17:48,785,78,Woman,,Small town,City,,3,4-year college degree,Democrat,,NA,Democrat,Strong,0.604173973196446,87,0.989589267633609,1.10408144777191,90,11,80,59,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,Republican,0.85303048971158,0.939203043737683,10,Black or African-American,NA,,"$80,000 to $89,999",NA,NA,NA,NA,very easy,,"Yes, I will",passed,passed,12,8,10,11,8,8,0,8,0,8,396,1,1,1,1,99,99,99,99,5,1,5,Democrat,Republican
128,R_6nVZ4R0SqDYq3xd,P523,24/02/2026 17:48,927,26,Man,,Suburb,Suburb,,4,4-year college degree,Republican,,NA,Republican,Strong,1.10842928930326,99,-0.73352471323523,-0.528880127215348,70,99,60,80,Treatment,2,-2,NA,NA,NA,NA,NA,Rarely,Often,NA,Democrat,0.898803886414699,-0.998834983022615,7,Black or African-American,NA,,"$100,000 to $149,999",NA,71,NA,99,,,"Yes, I will",passed,passed,20,13,16,19,13,7,6,6,7,-1,400,0,0,0,0,100,100,100,100,5,4,2,Republican,Democrat
129,R_73z9PNoH9A4W33r,P553,24/02/2026 17:49,1659,21,Man,,City,City,,4,2-year college degree,Republican,,NA,Republican,Strong,-0.824549422439531,53,-1.73293082213916,-1.48311397446812,100,100,50,50,Control,4,0,NA,Often,NA,NA,NA,NA,NA,NA,Republican,0.326636427625713,0.293190368150917,9,Black or African-American,NA,,"$60,000 to $69,999",NA,NA,NA,NA,I enjoyed the task,Good study!,"Yes, I will",passed,passed,17,11,14,16,18,9,9,9,9,0,350,0,0,50,0,100,100,50,100,4,1,5,Republican,Democrat
13,R_5wR1scYoPFKfW2q,P410,24/02/2026 16:37,894,43,Woman,,Suburb,Suburb,,2,Postgraduate degree,Democrat,,NA,Democrat,Strong,0.562152696854211,86,1.57544802112901,2.06880535249477,96,0,88,86,Treatment,1,-3,NA,NA,Almost never,Often,NA,NA,NA,NA,Republican,-0.165427586932815,-0.352822307435849,8,White,NA,,"$50,000 to $59,999",95,NA,60,NA,It was fine. I thought trying to do 17 was hard.,no,"Yes, I will",passed,passed,18,12,14,17,8,7,1,7,1,6,307,0,93,0,0,100,7,100,100,4,2,4,Democrat,Republican
130,R_3sLMYFP0Yu7tOJr,P272,24/02/2026 17:52,1121,58,Woman,,Suburb,City,,3,2-year college degree,Democrat,,NA,Democrat,Not very strong,0.0999186570896305,75,-0.974760670556867,-0.790209520190892,82,60,79,52,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,Republican,0.898803886414699,0.939203043737683,10,Black or African-American,NA,,"$90,000 to $99,999",NA,NA,NA,NA,Unique,Nice exercise.,"Yes, I will",passed,passed,12,8,10,11,2,1,1,1,1,0,400,0,0,0,0,100,100,100,100,5,1,5,Democrat,Republican
131,R_1ia2mMyq691Ozrc,P91,24/02/2026 17:54,1474,54,Man,,Rural area,Rural,,5,"College, but not degree",Republican,,NA,Republican,Strong,0.73023780222315,90,1.12743838610312,0.854871168886909,8,91,50,50,Treatment,1,-3,NA,NA,NA,NA,NA,Almost never,Almost never,Often,Republican,0.177872888340577,-0.352822307435849,8,Black or African-American,NA,,"$90,000 to $99,999",NA,83,NA,12,fun,good survey,"Yes, I will",passed,passed,12,8,10,11,9,7,2,2,7,-5,337,11,22,11,19,89,78,89,81,4,2,4,Republican,Democrat
132,R_3EWOh999FuAlfxn,P168,24/02/2026 17:54,552,30,Man,,Rural area,Rural,,4,4-year college degree,Republican,,NA,Republican,Strong,-0.236251553648247,67,0.0246454383470592,-0.0200606384383436,18,69,86,37,Control,1,-3,NA,Almost never,NA,NA,NA,NA,NA,NA,Republican,-1.82471321742087,-0.352822307435849,8,White,NA,,"$80,000 to $89,999",NA,NA,NA,NA,It was very engaging,Na,"Yes, I will",passed,passed,27,18,22,26,12,5,7,7,5,2,162,69,82,59,28,31,18,41,72,4,2,4,Republican,Democrat
133,R_3pJN4GQ7rUQ80AX,P256,24/02/2026 17:55,901,59,Man,,Small town,City,,2,4-year college degree,Democrat,,NA,Democrat,Not very strong,-1.79103877831093,30,-0.905836111322114,-0.815922728082056,45,21,40,62,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,Republican,0.280863030922594,-0.352822307435849,8,White,NA,,"$20,000 to $29,999",NA,NA,NA,NA,I found the task to be somehwhat unengaging.,,"Yes, I will",passed,passed,12,8,10,11,0,0,0,0,0,0,346,9,22,5,18,91,78,95,82,4,2,4,Democrat,Republican
134,R_1YJuv4Wxe2AXJ4l,P68,24/02/2026 17:56,982,32,Woman,,Suburb,Suburb,,3,Postgraduate degree,Democrat,,NA,Democrat,Strong,0.352046315143038,81,-1.04368522979162,-0.875317876959594,70,50,70,50,Treatment,3,-1,NA,NA,Sometimes,Rarely,Often,NA,NA,NA,Republican,-0.749038394897581,-1.64484765860938,6,Black or African-American,NA,,"$150,000 or more",50,NA,65,NA,,,"Yes, I will",passed,failed,15,10,12,14,5,2,3,2,3,-1,256,33,31,30,50,67,69,70,50,4,4,2,Democrat,Republican
135,R_7VA7fw3SPx5nRLz,P598,24/02/2026 17:57,766,52,Man,,City,City,,3,High school,Republican,,NA,Republican,Not very strong,-0.110187724621543,70,-1.38830802596539,-1.17796589280774,59,69,56,62,Control,2,-2,NA,Rarely,NA,NA,NA,NA,NA,NA,Republican,-2.15657034351849,0.939203043737683,10,White,NA,,"$40,000 to $49,999",NA,NA,NA,NA,stressful,thank you...,"Yes, I will",passed,passed,22,14,18,21,8,4,4,4,4,0,133,78,43,73,73,22,57,27,27,5,1,5,Republican,Democrat
136,R_7cnqrKruSp4a70i,P609,24/02/2026 17:58,654,23,Woman,,City,City,,5,"College, but not degree",Democrat,,NA,Democrat,Strong,1.1504505656455,100,1.71329713959852,-0.928035781821143,100,0,100,0,Control,4,0,Often,NA,NA,NA,NA,NA,NA,NA,Republican,-3.1063683251082,-0.352822307435849,8,Black or African-American,NA,,"$40,000 to $49,999",NA,NA,NA,NA,I found the task to be easy to complete.,I have no comments.,"Yes, I will",passed,passed,38,25,30,36,15,6,9,6,9,-3,50,100,100,100,50,0,0,0,50,3,1,5,Democrat,Republican
137,R_132ZxaLgkIqTD9X,P13,24/02/2026 17:59,786,74,Woman,,Suburb,City,,1,4-year college degree,Democrat,,NA,Democrat,Strong,0.352046315143038,81,-0.0787414005050711,0.215295233603261,76,28,81,78,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,Republican,0.898803886414699,0.939203043737683,10,White,NA,,"$100,000 to $149,999",NA,NA,NA,NA,Interesting and fun,no,"Yes, I will",passed,passed,13,8,10,12,8,7,1,7,1,6,400,0,0,0,0,100,100,100,100,5,1,5,Democrat,Republican
138,R_39XONcmASY96yUp,P161,24/02/2026 17:59,631,54,Man,,Small town,Small-town,,4,Postgraduate degree,Democrat,,NA,Democrat,Strong,1.1504505656455,100,1.36867434342475,1.74765073784036,90,0,75,90,Control,4,0,Often,NA,NA,NA,NA,NA,NA,NA,Democrat,0.898803886414699,0.939203043737683,10,White,NA,,"$80,000 to $89,999",NA,NA,NA,NA,It was kind of fun,no,"Yes, I will",passed,passed,25,16,20,24,14,7,7,7,7,0,400,0,0,0,0,100,100,100,100,5,1,5,Democrat,Republican
139,R_7ScU3MPRbtoAQJq,P596,24/02/2026 18:00,724,26,Man,,Suburb,Suburb,,4,"College, but not degree",Democrat,,NA,Democrat,Strong,0.268003762458569,79,-0.0787414005050711,-0.56286421486774,81,33,26,20,Treatment,2,-2,NA,NA,Rarely,Often,NA,NA,NA,NA,Republican,0.132099491637458,-0.998834983022615,7,White,"Hispanic, Latino, or Spanish origin",,"$70,000 to $79,999",89,NA,60,NA,I found it relatively easy despite not using a mouse for my laptop,,"Yes, I will",passed,passed,23,15,18,22,15,7,8,7,8,-1,333,11,9,43,4,89,91,57,96,4,3,3,Democrat,Republican
14,R_3OksyeyznPgSJj0,P184,24/02/2026 16:38,974,35,Woman,,Suburb,Small-town,,5,High school,Democrat,,NA,Democrat,Strong,1.1504505656455,100,1.71329713959852,-0.388931895163427,100,0,3,100,Treatment,1,-3,NA,NA,Almost never,Often,NA,NA,NA,NA,Republican,-0.245531031163273,-1.64484765860938,6,Black or African-American,NA,,"$50,000 to $59,999",100,NA,52,NA,I enjoyed it really did.,Thank you for the opportunity,"Yes, I will",passed,passed,28,18,22,27,8,5,3,5,3,2,300,0,0,100,0,100,100,0,100,5,5,1,Democrat,Republican
140,R_3uUFXIGTOxDCOM9,P277,24/02/2026 18:00,1275,29,Woman,,City,Rural,,3,4-year college degree,Democrat,,NA,Democrat,Strong,-0.110187724621543,70,0.748353310311971,0.687047558195895,75,3,55,60,Treatment,4,0,NA,NA,Often,NA,NA,NA,NA,NA,Republican,-1.04656547346785,-1.64484765860938,6,Black or African-American,NA,,"$90,000 to $99,999",20,NA,70,NA,okay,no,"Yes, I will",passed,passed,18,12,14,17,10,6,4,6,4,2,230,50,50,50,20,50,50,50,80,3,3,3,Democrat,Republican
141,R_102efBu8oPjvAkB,P02,24/02/2026 18:02,2511,50,Man,,City,City,,5,4-year college degree,Republican,,NA,Republican,Strong,1.1504505656455,100,0.059107717964436,0.227039824346663,48,100,52,100,Treatment,1,-3,NA,NA,NA,NA,NA,Almost never,Often,NA,Republican,-1.24110240945611,-0.998834983022615,7,"Hispanic, Latino, or Spanish origin",NA,,"$100,000 to $149,999",NA,63,NA,41,it was interesting and insightful,no comments,"Yes, I will",passed,passed,32,21,26,30,12,7,5,5,7,-2,213,39,64,67,17,61,36,33,83,4,3,3,Republican,Democrat
